origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
1,2,43201.0084481659,8,5,4,1
2,5,43202.368122461616,999999,4,999999,1
5,3,43202.368122461616,4,999999,6,1
1,3,43204.48589853552,0,999999,5,1
6,0,43206.92509693692,4,999999,0,1
6,5,43206.92509693692,5,6,0,1
5,8,43207.49735632698,6,3,999999,1
4,6,43207.990381186384,7,0,5,1
6,1,43207.990381186384,3,2,8,1
6,5,43207.990381186384,999999,6,3,1
6,6,43207.990381186384,999999,2,1,1
2,6,43208.36898969103,999999,4,5,1
5,0,43208.47115177995,4,6,999999,1
6,1,43208.47115177995,999999,7,8,1
8,2,43208.66461488853,4,999999,0,1
6,6,43210.71528832928,7,999999,6,1
5,8,43215.0264672205,999999,0,5,1
5,0,43215.326872322956,999999,6,6,1
4,2,43216.160305816666,6,6,3,1
5,3,43217.592526252294,999999,8,5,1
8,3,43219.76011397283,999999,8,5,1
8,6,43219.76011397283,4,999999,6,1
6,8,43223.24374756752,6,5,5,1
5,8,43223.72993272599,999999,4,6,1
6,8,43223.72993272599,999999,8,6,1
8,3,43227.129332762976,6,5,3,1
8,8,43227.129332762976,999999,1,5,1
1,6,43228.001105694595,0,2,3,1
4,3,43229.025500749834,0,999999,4,1
5,6,43229.025500749834,1,999999,5,1
4,8,43229.655183302464,4,999999,5,1
6,1,43229.655183302464,999999,1,0,1
5,6,43230.71802029163,4,0,8,1
5,0,43230.862251150174,999999,3,2,1
5,1,43232.32889263386,999999,6,0,1
5,3,43232.32889263386,4,4,999999,1
5,1,43232.741521031465,0,999999,5,1
1,2,43233.646842796275,6,3,6,1
1,6,43233.646842796275,999999,5,3,1
1,1,43235.80093134426,999999,6,5,1
5,2,43235.80093134426,999999,3,5,1
8,3,43235.80093134426,2,1,4,1
5,3,43236.21888643504,1,0,6,1
5,5,43236.21888643504,4,999999,0,1
5,8,43236.21888643504,3,5,4,1
5,8,43236.21888643504,6,999999,5,1
1,0,43237.81773738416,3,999999,8,1
5,6,43237.81773738416,1,999999,5,1
6,3,43237.81773738416,999999,8,2,1
1,0,43240.82944503813,4,5,999999,1
1,0,43240.82944503813,6,999999,8,1
5,0,43240.82944503813,6,3,999999,1
1,1,43245.34617306597,3,2,999999,1
1,4,43246.10743416845,999999,5,5,1
5,3,43246.10743416845,999999,3,1,1
6,2,43249.612324121525,1,0,3,1
6,1,43253.05899057247,4,8,999999,1
4,3,43254.9207640293,5,999999,6,1
5,1,43254.9207640293,1,6,999999,1
5,2,43254.9207640293,6,2,5,1
5,7,43254.9207640293,999999,8,1,1
6,8,43254.9207640293,999999,5,6,1
8,1,43254.9207640293,6,999999,0,1
5,3,43257.13922041463,999999,6,3,1
4,7,43258.23007331451,6,999999,0,1
5,7,43258.23007331451,999999,6,0,1
6,1,43266.97649261759,0,2,5,1
1,4,43267.12422310408,7,5,6,1
6,1,43271.40364014365,8,999999,4,1
6,3,43271.40364014365,999999,6,8,1
1,2,43276.13552731598,999999,4,1,1
5,1,43276.13552731598,8,999999,6,1
5,3,43276.13552731598,0,999999,5,1
5,3,43280.00424864448,6,999999,1,1
6,8,43280.00424864448,8,999999,999999,1
6,2,43281.868473064846,999999,5,7,1
8,3,43281.868473064846,999999,3,2,1
6,5,43282.932252322746,2,6,999999,1
5,3,43283.25767324131,2,1,1,1
1,6,43283.37671518971,8,5,999999,1
6,5,43283.37671518971,2,6,3,1
7,3,43283.37671518971,8,6,999999,1
1,1,43290.88664886427,999999,6,5,1
5,1,43291.242438460955,999999,6,8,1
4,3,43291.410137412655,8,1,5,1
5,6,43291.410137412655,0,999999,5,1
6,6,43291.410137412655,1,6,999999,1
5,2,43292.58110870484,1,3,0,1
6,3,43292.58110870484,999999,1,5,1
4,1,43295.318290194264,999999,2,0,1
6,1,43295.318290194264,999999,999999,7,1
1,8,43296.73326436638,6,0,2,1
5,2,43296.73326436638,999999,5,5,1
6,7,43296.73326436638,5,8,6,1
1,3,43297.596583004306,5,5,999999,1
5,2,43299.29973304222,999999,6,1,1
6,6,43299.29973304222,999999,0,6,1
2,2,43302.38019309092,1,6,3,1
6,6,43306.375270294666,999999,6,5,1
4,6,43310.31484412718,999999,1,2,1
6,3,43311.909820284265,999999,2,6,1
6,6,43311.909820284265,3,6,5,1
5,0,43312.34551614304,1,999999,5,1
5,0,43312.34551614304,2,999999,6,1
4,4,43314.10066297543,5,7,8,1
5,6,43314.10066297543,999999,5,5,1
5,5,43315.12907502397,6,0,999999,1
8,6,43315.12907502397,3,4,4,1
1,2,43317.66602750226,999999,5,4,1
5,6,43317.66602750226,1,999999,5,1
5,8,43322.52224797734,6,999999,5,1
1,5,43328.74368439599,2,0,6,1
5,5,43328.74368439599,5,1,0,1
5,5,43328.74368439599,6,5,999999,1
6,1,43328.74368439599,5,999999,0,1
6,2,43328.77894913075,8,0,999999,1
1,6,43328.932313243764,999999,999999,5,1
1,5,43330.272425469,8,999999,3,1
1,7,43330.272425469,5,3,999999,1
6,2,43330.272425469,0,1,3,1
1,4,43332.94907133827,999999,8,8,1
6,6,43332.94907133827,3,5,1,1
5,5,43333.135706873225,0,3,999999,1
5,4,43334.947124284925,999999,6,1,1
8,7,43334.947124284925,3,999999,2,1
8,5,43338.31106851068,3,6,7,1
4,6,43338.816062834776,1,999999,3,1
5,3,43338.816062834776,999999,6,6,1
4,0,43339.7483352423,5,5,999999,1
6,5,43341.48656845311,0,999999,3,1
6,5,43341.48656845311,999999,4,2,1
5,4,43343.0389772524,999999,3,5,1
5,2,43343.41186936748,6,1,999999,1
8,3,43343.41186936748,4,999999,6,1
6,2,43346.444868827144,3,8,8,1
5,4,43346.48827990066,7,999999,0,1
6,2,43346.48827990066,999999,5,6,1
5,5,43346.950705748524,1,5,0,1
8,5,43346.950705748524,6,1,5,1
5,1,43347.31608389594,5,8,999999,1
6,2,43347.31608389594,999999,2,8,1
5,6,43349.866483658116,1,3,999999,1
1,0,43355.28303924449,999999,0,2,1
1,6,43355.28303924449,3,999999,8,1
2,2,43355.28303924449,1,6,3,1
5,4,43355.28303924449,999999,0,0,1
5,5,43355.3294988003,6,1,999999,1
8,1,43355.3294988003,999999,8,1,1
4,1,43357.195643764826,999999,3,6,1
6,8,43357.195643764826,1,0,6,1
6,6,43361.5947846235,5,1,6,1
6,7,43361.5947846235,999999,6,5,1
4,2,43362.56732104261,999999,8,5,1
