name,address,capacity,lat,lon,edge_id,zone_id
昌平童夢館,東京都千代田区外神田3-4-7,136,35.701152,139.769904,41519045#2,0
湯島児童館,東京都文京区本郷3-10-18,15,35.70381782,139.7638097,-23443416#1,0
湯島幼稚園,東京都文京区本郷3-10-18,15,35.703957,139.763599,149415593#0,0
本郷児童館,東京都文京区本郷5-30-8,15,35.71165,139.758266,866351232#4,0
旧練成中学校,東京都千代田区外神田6-11-14,189,35.70421,139.770683,72463851#2,0
旧元町小学校,東京都文京区本郷1-1-19,189,35.70288929,139.7578667,89419994,0
湯島小学校,東京都文京区湯島2-28-14,189,35.70654,139.766432,89418359,0
本郷小学校,東京都文京区本郷4-5-15,189,35.708095,139.758321,53208159#0,0
本郷台中学校,東京都文京区本郷2-38-23,189,35.707012,139.75896,34998006#2,0
黒門小学校,東京都台東区上野1-16-20,189,35.706957,139.770987,85568120#4,0
忍岡小学校,東京都台東区池之端2-1-22,189,35.713954,139.766834,-1127706328#0,0
区立スポーツセンター,東京都千代田区内神田2-1-8,136,35.68917,139.767556,31050815#1,0
高齢者センター,東京都千代田区神田神保町2-20,136,35.697124,139.756516,175994173#1,0
神田さくら館,東京都千代田区神田司町2-16,136,35.693486,139.76846,264021277#2,0
お茶の水小学校,東京都千代田区猿楽町1-1-1,189,35.697347,139.760433,376098682#0,0
旧今川中学校,東京都千代田区鍛冶町2-4-2,189,35.691698,139.773094,33637414,0
神田一橋中学校,東京都千代田区一ツ橋2-6-14,189,35.694708,139.756822,262051128#0,0
常盤小学校,東京都中央区本石町4-4-26,106,35.688459,139.770627,51933192,0
生涯学習センター,東京都港区新橋3-16-3,134,35.66552162,139.7570912,139085561#0,0
銀座中学校,東京都中央区銀座8-19-15,250,35.665628,139.764934,-69963032#0,0
泰明小学校,東京都中央区銀座5-1-13,148,35.672433,139.761767,203301448,0
エコプラザ,東京都港区浜松町1-13-1,136,35.65879,139.756913,134923812#0,0
月島児童館,東京都中央区月島4-1-1,146,35.66199,139.782293,131025957#2,1
月島社会教育会館,東京都中央区月島4-1-1,22,35.661999,139.782189,335539645#0,1
佃児童館シニアセンター,東京都中央区佃1-11-1,27,35.668906,139.784737,285664494#0,1
佃中学校,東京都中央区佃2-3-2,380,35.667989,139.784987,257357821#4,1
佃島小学校,東京都中央区佃2-3-1,320,35.668572,139.784599,296689963#2,1
月島社会教育会館晴海分館「アートはるみ」,東京都中央区晴海1-4-1,19,35.658869,139.785619,31283076#0,1
特別養護老人ホーム「マイホームはるみ」,東京都中央区晴海1-5-1,9,35.659962,139.78471,-46149196,1
芝浦工業大学（豊洲キャンパス）,東京都江東区豊洲3-7-5,121,35.66093,139.795435,1028258369#0,1
東雲児童館,東京都江東区東雲2-4-4-102,35,35.643937,139.799265,44883380#1,1
東雲保育園,東京都江東区東雲1-8-5-101,24,35.644937,139.800237,-1027009172#1,1
豊洲子ども家庭支援センター,東京都江東区豊洲5-5-1-201,9,35.65363,139.79607,-31283137#1,1
豊洲文化センター,東京都江東区豊洲2-2-18,107,35.653872,139.794924,1028619481#0,1
豊洲保育園,東京都江東区豊洲4-5-6-101,32,35.654713,139.799403,-100102319#1,1
月島第一小学校,東京都中央区月島4-15-1,227,35.660851,139.780266,269150833#0,1
月島第三小学校,東京都中央区晴海1-4-1,294,35.658879,139.785626,-31283076#0,1
晴海中学校,東京都中央区晴海1-5-3,296,35.659546,139.784849,46149188,1
深川第五中学校,東京都江東区豊洲4-11-18,246,35.652677,139.799157,1028619486#0,1
豊洲小学校,東京都江東区豊洲4-4-4,355,35.654186,139.798764,30842114#0,1
豊洲北小学校,東京都江東区豊洲3-6-1,264,35.658463,139.797824,-22823721#9,1
豊洲児童館,東京都江東区豊洲4-10-4-111,40,35.65401481,139.802673,31237829#3,1
ほっとプラザはるみ,東京都中央区晴海5-2-3,45,35.6518051,139.7749436,36688988#4,1
月島第二小学校,東京都中央区勝どき1-12-2,259,35.660212,139.775822,46149025,1
豊海小学校,東京都中央区勝どき6-6-2,182,35.654379,139.77285,46148742#1,1
台場区民センター,東京都港区台場1-5-1,47,35.629892,139.77717,27241671#0,1
港陽小・中学校,東京都港区台場1-1-5,537,35.633842,139.777236,27242140,1
ひばり幼稚園,東京都江東区東雲2-4-1-103,41,35.642187,139.797793,-44883382,1
東雲第二保育園,東京都江東区東雲2-4-4-103,30,35.643326,139.799237,44883380#2,1
豊洲図書館有明スポーツセンター,東京都江東区有明2-3-5,208,35.63318,139.78382,257239009#1,1
東雲小学校,東京都江東区東雲2-4-11,233,35.642437,139.799209,-44883381#3,1
有明小学校,東京都江東区有明2-10-1,249,35.64009122,139.796202,670065088#0,1
有明中学校,東京都江東区有明2-10-1,169,35.640154,139.796202,23489088#1,1
枝川区民館,東京都江東区枝川3-6-16,43,35.658488,139.810303,368083811#2,2
枝川幼稚園,東京都江東区枝川3-4-1-101,27,35.659463,139.808624,-31133931,2
辰巳児童館,東京都江東区辰巳1-1-36,44,35.64757873,139.8089391,-1056328000,2
辰巳第三保育園,東京都江東区辰巳1-10-81-101,33,35.648187,139.811374,1056330391,2
辰巳第二保育園,東京都江東区辰巳1-10-65-101,24,35.648964,139.810708,1056328001,2
潮見保育園,東京都江東区潮見1-29-15-101,40,35.655991,139.814707,174022686#2,2
枝川小学校,東京都江東区枝川3-5-3,355,35.659602,139.80943,-429870959#3,2
第二辰巳小学校,東京都江東区辰巳1-1-22,211,35.648353,139.808458,44884344#0,2
辰巳小学校,東京都江東区辰巳1-11-1,236,35.646659,139.810041,174405496#0,2
辰巳中学校,東京都江東区辰巳1-10-57,249,35.646826,139.811347,648435889#0,2
夢の島競技場,,320,35.64866261647408,139.8235916742852,161392517,2
中央くすのきカルチャーセンター,東京都江戸川区西小松川町34-1,136,35.700816,139.864247,365706979#2,3
東京都立江戸川高等学校,東京都江戸川区松島2-38-1,136,35.708264,139.865063,-47118452#0,3
三松江小学校,東京都江戸川区中央4-13-1,177,35.71032,139.867285,-47118453#1,3
松江二中学校,東京都江戸川区松島2-3-1,587,35.706263,139.860036,47118451#0,3
西小松川小学校,東京都江戸川区松島3-30-6,177,35.711263,139.862535,54928199,3
二松江小学校,東京都江戸川区松島2-16-20,127,35.704958,139.861536,-365706989,3
旧松南小学校,東京都葛飾区新小岩3-25-1,59,35.713564,139.865913,193610552,3
勤労福祉会館,東京都江戸川区船堀4-2-5,136,35.685259,139.865233,147297543#0,3
松江一中学校,東京都江戸川区松江5-5-1,304,35.688739,139.867285,-1124642416#1,3
船堀小学校,東京都江戸川区船堀2-22-22,196,35.682934,139.862091,190527310#0,3
船堀二小学校,東京都江戸川区船堀4-14-4,295,35.683045,139.867674,147297552,3
東小松川小学校,東京都江戸川区東小松川3-27-1,189,35.693155,139.865702,-136550178#1,3
スポーツセンター,東京都江戸川区西葛西4-2-20,136,35.668008,139.862564,-199783476,3
葛西くすのきカルチャーセンター,東京都江戸川区宇喜田町191,136,35.67354987,139.8618563,-190527312#0,3
共育プラザ葛西,東京都江戸川区宇喜田町175,136,35.673468,139.860724,190527312#0,3
教育研究所西葛西教育相談室,東京都江戸川区西葛西3-11-4,136,35.667533,139.857851,151560757#1,3
西葛西図書館,東京都江戸川区西葛西5-10-47,136,35.664839,139.862892,72843607#4,3
船堀幼稚園,東京都江戸川区船堀6-11-39,15,35.678296,139.866202,1057198635#1,3
北葛西コミュニティ会館,東京都江戸川区北葛西2-11-39,136,35.673119,139.857187,199783479,3
宇喜田小学校,東京都江戸川区北葛西5-13-1,225,35.674657,139.865286,151560672#2,3
葛西二中学校,東京都江戸川区宇喜田町1085,203,35.679212,139.861842,-224195459#3,3
五葛西小学校,東京都江戸川区北葛西2-13-33,196,35.674823,139.855703,60185717#1,3
三葛西小学校,東京都江戸川区北葛西4-2-19,201,35.671019,139.861453,579776871,3
清新一中学校,東京都江戸川区清新町1-5-14,431,35.663519,139.851593,432603494#0,3
西葛西小学校,東京都江戸川区西葛西3-9-44,346,35.66813,139.857537,151560757#0,3
西葛西中学校,東京都江戸川区西葛西5-10-18,244,35.66588,139.862814,148940706#0,3
六葛西小学校,東京都江戸川区西葛西4-5-1,199,35.668102,139.864842,1066890910#1,3
新田コミュニティ会館,東京都江戸川区中学校葛西7-17-1,136,35.654646,139.866417,44886227#1,3
清新町コミュニティ会館,東京都江戸川区清新町1-2-2,136,35.658728,139.855988,-44886285#7,3
東京都立紅葉川高等学校,東京都江戸川区臨海町2-1-1,136,35.652798,139.859037,44885799#0,3
臨海町コミュニティ会館,東京都江戸川区臨海町2-2-9,136,35.652785,139.85996,-44885799#2,3
葛西三中学校,東京都江戸川区中葛西6-6-13,335,35.659687,139.865397,47113644#3,3
七葛西小学校,東京都江戸川区西葛西7-8-1,195,35.659992,139.859731,-47113642#2,3
新田小学校,東京都江戸川区西葛西8-16-1,291,35.654548,139.862981,-47113650,3
清新一小学校,東京都江戸川区清新町1-4-19,484,35.661853,139.852759,44885796#1,3
清新三小学校,東京都江戸川区清新町1-1-38,484,35.657492,139.852843,44886285#0,3
清新二小学校,東京都江戸川区清新町2-10-1,313,35.65502,139.857593,-44886287#1,3
清新二中学校,東京都江戸川区清新町2-1-2,571,35.656853,139.852426,-44886285#1,3
臨海小学校,東京都江戸川区臨海町2-2-11,645,35.651771,139.860065,1237754031,3
日本橋公会堂集会室,東京都中央区日本橋蛎殻町1-31-1,61,35.682486,139.784321,95396785#1,4
日本橋社会教育会館,東京都中央区日本橋人形町1-1-17,15,35.684771,139.781394,667863959#0,4
都立一橋高校,東京都千代田区東神田1-12-13,189,35.69457,139.781071,31046466#0,4
久松小学校,東京都中央区久松町7-2,187,35.688958,139.784559,94094796#6,4
日本橋小学校,東京都中央区人形町1-1-17,148,35.684848,139.781377,95282564#1,4
日本橋中学校,東京都中央区東日本橋1-10-1,201,35.692459,139.787071,-157214540#2,4
有馬小学校,東京都中央区蛎殻町2-10-23,211,35.683533,139.787635,35216007#0,4
新川区民館,東京都中央区新川1-26-1,43,35.676414,139.783724,46151435#6,4
