cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
1030671931#0,1120936393,-1028570786#1,1057198633,-450523569,156919888#1,-22736445#0,89881814#0,196629668#1
1033723437,1147401994,1028570790#6,-71367237,368086828#3,208649513#8,168663972#4,683457657#2,680497649
25868124#0,171300278#2,170624691#6,47111169#0,-90795029,-31035836#1,209210746#1,-89828177,296443891#0
265010573#0,23350417#0,-1028570785#1,-44886286#1,202903720,-208649513#7,174022677#5,956159234,208649512#0
265010590#1,24059844,-1028572143#0,-47113636#14,368086828#10,71470190#12,-168683414#1,254327781#3,1021561144#0
59254368#1,285454834#0,-46875474,728136201#4,243206484#1,1028619489#0,-120525537#6,182236078,-59525014
968221183#8,311912291,-44884987#0,398675574#2,682261295,349459713#1,22562407#5,-585279933#0,-46655820#1
-4848912#4,333682042#0,1028573261#5,271934577#1,33625902#3,-190552056#0,392940747#0,89825903#10,57478195#0
1030669188,333682044,-44884665#4,47113630#0,1244504475#1,744266431#0,315539209#8,90835548#7,-401190982
25868122,353940886,170624691#7,1058036879#1,273211073#5,-24294874#1,50877021#1,395264636#2,46655809#0
-4848912#0,44837352,1028572152#3,45663908#0,95396838#3,-161392518#3,95396832#0,-89831417#2,680508518#0
-177148861#0,721120031#1,170624687,47113642#0,368086842,-1057054858#3,392088983#3,34605313#1,-46655815#1
172368557#1,45017436#0,170624688#4,-1056405594#2,314205670#1,-228076698#2,71470206#5,-199311779#20,261324420
-172368556,760588360#1,198929903,47981647#1,265176187#6,749829569#9,76187048#1,89881857#3,-46655814
968221183#6,45172803#2,23766689#3,-724540987#1,94094796#5,1057527741#2,528899353#1,89934436#0,46655816
968221183#7,548903448#2,-23288368#0,-136400684#11,-254327780#1,-71470213#0,392090724#6,156938659#14,46655813#5
-1030669187#0,-680781425#0,-1028570786#5,1058036874#0,95282524#0,154253453,168663959#2,145581936#1,1021561409
1030669187#0,680781425#0,1028570786#8,164774173#2,368086832#6,88956628#2,-174022632#2,199311779#8,1021555392
-211690608,27241669#2,-368074417#1,796894966#9,156938703#2,185216947#1,30998553,-438132738#2,154458448#4
1030281241#2,257239011#1,-1028573261#4,71367225#1,682261292#0,-103945938#6,135704845,533092485#2,744698554#6
1093314337,1028619485#0,1028572140#0,44886285#2,368086828#4,-161392626#1,1024125617#0,-89934436#2,59584806#0
1093314338,257357822#0,172627210#1,71367244,95396825#4,70794980#1,174022679#1,98883477#11,72157141
-4848912#6,-285664452,170624724#0,-151560757#0,33640827#4,-230293774#3,319196849#0,89822308,1021561146
-154083437#0,285664450,-166899880#2,297026346#2,1031963660,-161392586#0,184293865#2,683455644#3,-680497679#1
154083437#0,-45172805#0,1028574803,23604986#0,368086832#5,44886562#3,30929622#1,89934506#1,-71500770
-1030669193,-45172807#2,170624685#1,47113620#1,94094796#6,-1237936909#1,-157058385#0,43991629#0,1024102265#0
1030669193,1028619483,44884829#1,1195136380,94094796#8,88937129#2,-157293029#1,89929109#1,185216953
4848916#1,1028619497#0,44884829#4,-1056874653#3,368086830#1,-749869679#1,-449602008,-89881836#0,-401190994
-1030669189,-266086967,368083794,579777156,35216007#0,304727895#2,-157058466#2,260425576#3,792190865#3
172368554,266086967,-44884667#0,749803802#12,1055853350,161392519#1,969494639#0,-543019008#1,46655813#6
265010607#1,-332634091#7,1028573264#0,190527310#1,273211073#1,23288386,667865212#2,89881837#4,1063455943#2
-154083437#1,-332634091#8,-198929902,151560714#2,157238666#0,-228514822#2,151175258#1,812846556#0,-71502410#0
172368557#0,-24372991#1,-44884834#4,47113644#1,35216007#13,-23217864#1,151175274#1,583741284#1,-1024100274
265010607#2,24372991#1,170624710,41529971#1,682261292#1,31303247#2,-157058385#2,89881827,46655813#2
-4848912#2,-100102319#1,-44884665#0,149986653,401195404,30842030#1,28063951#2,89822282#1,72002813#1
-172368557#1,31237856,209210755#5,47981601#6,31047009#4,-154253462#0,-151175220#0,89213766#9,-157366923#3
4848912#6,31283137#1,-44884834#2,-60185722#2,254327783#0,545585643#1,-22562407#3,395264607#6,46655808
4848912#0,1029279500,-44884671#0,1229651927#0,94094796#4,228511424#0,151175223#0,395264622#3,296443882
-211690618#1,-23990057,-44884665#5,-1056408312,32122316#1-AddedOnRampEdge,-185216948,-368084601#0,54681242#0,45701220#0
968221183#3,46149026,32204060#1,136400684#9,94094793#5,71470185#9,220551731,395264612#6,-56016102#1
211690618#2,46149024,209210755#3,1058036873#1,680760288#1,70936552#0,168663971#4,618452916,70330617#0
-111594584#0,-45172806#1,44884836,1057198632#0,265176670#0,258044916,151175272#1,19922745#3,-185216958
-47025712#1,45172806#1,44884835#1,-47113636#10,-89825913#2,148642786#6,-184314043#0,-89822310#1,-871138580#0
